Mouse_ID,Neuron_ID,Model,R²_train,R²_test
Mouse509,Neuron_15,BF,-0.0027330849092959573,-0.020670531666279635
Mouse509,Neuron_15,BFmotion,0.0013297028719968518,-0.011824291796876274
Mouse509,Neuron_15,HR,0.003251741754701598,-0.02463528915748503
Mouse509,Neuron_15,HRmotion,0.0023411322083613404,-0.02522919372024468
Mouse509,Neuron_15,all,0.008525366053709082,-0.0009690414752314691
Mouse509,Neuron_16,motion,0.34142568829759357,0.31382870830941445
Mouse509,Neuron_16,BF,0.004991571837579168,-0.05024380074166057
Mouse509,Neuron_16,BFmotion,0.34137910806597993,0.31460684825473206
Mouse509,Neuron_16,HR,0.19939207226725547,0.13285981171045314
Mouse509,Neuron_16,HRmotion,0.36145938614042566,0.33025139701632045
Mouse509,Neuron_16,all,0.36130689339513067,0.3292003998132703
Mouse509,Neuron_17,motion,-0.0006855152057325675,-0.007356768050565288
Mouse509,Neuron_17,BF,0.005896233933756556,-0.03214709016461037
Mouse509,Neuron_17,BFmotion,0.006662345737702103,-0.03573967858184446
Mouse509,Neuron_17,HR,0.005556943941800241,-0.014601586085373874
Mouse509,Neuron_17,HRmotion,0.011996590850239875,-0.02119752735700975
Mouse509,Neuron_17,all,0.013661264726301048,-0.042407576934131885
Mouse509,Neuron_18,motion,0.04153972428493815,0.04707656797708504
Mouse509,Neuron_18,BF,0.07995337156002649,0.0704567721351208
Mouse509,Neuron_18,BFmotion,0.08303185624570217,0.09067334597902699
Mouse509,Neuron_18,HR,0.014847514739405931,-0.01384838684958467
Mouse509,Neuron_18,HRmotion,0.042223745647708144,0.027973242814381405
Mouse509,Neuron_18,all,0.08265937003242965,0.09786059019344062
Mouse509,Neuron_19,motion,0.031541191524621356,0.031599713661714546
Mouse509,Neuron_19,BF,0.0006382769377964558,-0.009592989719029221
Mouse509,Neuron_19,BFmotion,0.04079590019392352,0.021572130222675456
Mouse509,Neuron_19,HR,0.016795914775801068,-0.001625618196483547
Mouse509,Neuron_19,HRmotion,0.03486951585250324,0.02173041312142676
Mouse509,Neuron_19,all,0.04416911781506727,0.00755666337791272
Mouse509,Neuron_20,motion,0.005583071061321299,-0.02773757448973413
Mouse509,Neuron_20,BF,0.0024774668355997064,0.0007484887383887306
Mouse509,Neuron_20,BFmotion,0.00901211528405721,-0.02575750608897187
Mouse509,Neuron_20,HR,0.009356895078544447,-0.02529600800330889
Mouse509,Neuron_20,HRmotion,0.01557873628269919,-0.05025793426627767
Mouse509,Neuron_20,all,0.02028994888507356,-0.0598946086989236
Mouse509,Neuron_21,motion,0.04546100593552562,0.04141806714287921
Mouse509,Neuron_21,BF,0.07591982244903653,0.09692892523383845
Mouse509,Neuron_21,BFmotion,0.09572269786066892,0.08267494387157204
Mouse509,Neuron_21,HR,0.019247904606347378,0.035019096208624756
Mouse509,Neuron_21,HRmotion,0.0696428880895013,0.06137893891195889
Mouse509,Neuron_21,all,0.1040272991921565,0.09041458302746375
Mouse509,Neuron_22,motion,0.003132736273560566,-0.013109024127969882
Mouse509,Neuron_22,BF,-0.0012067465556139466,0.007973341522974242
Mouse509,Neuron_22,BFmotion,0.004072078157114789,-0.0012113074267212642
Mouse509,Neuron_22,HR,0.010115194036386698,-0.018500066873294863
Mouse509,Neuron_22,HRmotion,0.015606161690865017,-0.032637734246561356
Mouse509,Neuron_22,all,0.022783774732142305,-0.007165047662784252
Mouse509,Neuron_23,motion,0.033903753388458836,0.05574607061683812
Mouse509,Neuron_23,BF,0.01891455967105753,0.013340959882905734
Mouse509,Neuron_23,BFmotion,0.04031419562917924,0.05566538145101119
Mouse509,Neuron_23,HR,0.03056829820917779,0.032110726839425174
Mouse509,Neuron_23,HRmotion,0.038996347113540185,0.06102513781804586
Mouse509,Neuron_23,all,0.04098676521668705,0.056912806618958256
Mouse509,Neuron_24,motion,0.12844958365301373,0.12245488203470367
Mouse509,Neuron_24,BF,0.04656260015133749,0.08315587450218942
Mouse509,Neuron_24,BFmotion,0.1308718709029884,0.15167714184995829
